List(3, 1, 6, 2, 5, 7, 4, 0)
List(4, 1, 3, 6, 2, 7, 5, 0)
List(2, 4, 1, 7, 5, 3, 6, 0)
List(2, 5, 3, 1, 7, 4, 6, 0)
List(4, 6, 0, 2, 7, 5, 3, 1)
List(3, 5, 7, 2, 0, 6, 4, 1)
List(2, 5, 7, 0, 3, 6, 4, 1)
List(4, 2, 7, 3, 6, 0, 5, 1)
List(4, 6, 3, 0, 2, 7, 5, 1)
List(3, 0, 4, 7, 5, 2, 6, 1)
List(2, 5, 3, 0, 7, 4, 6, 1)
List(3, 6, 4, 2, 0, 5, 7, 1)
List(5, 3, 1, 7, 4, 6, 0, 2)
List(5, 3, 6, 0, 7, 1, 4, 2)
List(0, 6, 3, 5, 7, 1, 4, 2)
List(5, 7, 1, 3, 0, 6, 4, 2)
List(5, 1, 6, 0, 3, 7, 4, 2)
List(3, 6, 0, 7, 4, 1, 5, 2)
List(4, 7, 3, 0, 6, 1, 5, 2)
List(3, 7, 0, 4, 6, 1, 5, 2)
List(1, 6, 4, 7, 0, 3, 5, 2)
List(0, 6, 4, 7, 1, 3, 5, 2)
List(1, 4, 6, 3, 0, 7, 5, 2)
List(3, 1, 6, 4, 0, 7, 5, 2)
List(4, 6, 0, 3, 1, 7, 5, 2)
List(5, 3, 0, 4, 7, 1, 6, 2)
List(4, 0, 3, 5, 7, 1, 6, 2)
List(4, 1, 5, 0, 6, 3, 7, 2)
List(5, 2, 6, 1, 7, 4, 0, 3)
List(1, 6, 2, 5, 7, 4, 0, 3)
List(6, 2, 0, 5, 7, 4, 1, 3)
List(4, 0, 7, 5, 2, 6, 1, 3)
List(0, 4, 7, 5, 2, 6, 1, 3)
List(2, 5, 7, 0, 4, 6, 1, 3)
List(5, 2, 0, 6, 4, 7, 1, 3)
List(6, 4, 2, 0, 5, 7, 1, 3)
List(6, 2, 7, 1, 4, 0, 5, 3)
List(4, 2, 0, 6, 1, 7, 5, 3)
List(1, 4, 6, 0, 2, 7, 5, 3)
List(2, 5, 1, 4, 7, 0, 6, 3)
List(5, 0, 4, 1, 7, 2, 6, 3)
List(7, 2, 0, 5, 1, 4, 6, 3)
List(1, 7, 5, 0, 2, 4, 6, 3)
List(4, 6, 1, 5, 2, 0, 7, 3)
List(2, 5, 1, 6, 4, 0, 7, 3)
List(5, 1, 6, 0, 2, 4, 7, 3)
List(2, 6, 1, 7, 5, 3, 0, 4)
List(5, 2, 6, 1, 3, 7, 0, 4)
List(3, 1, 6, 2, 5, 7, 0, 4)
List(6, 0, 2, 7, 5, 3, 1, 4)
List(0, 5, 7, 2, 6, 3, 1, 4)
List(2, 7, 3, 6, 0, 5, 1, 4)
List(5, 2, 6, 3, 0, 7, 1, 4)
List(6, 3, 1, 7, 5, 0, 2, 4)
List(3, 5, 7, 1, 6, 0, 2, 4)
List(1, 5, 0, 6, 3, 7, 2, 4)
List(1, 3, 5, 7, 2, 0, 6, 4)
List(2, 5, 7, 1, 3, 0, 6, 4)
List(5, 2, 0, 7, 3, 1, 6, 4)
List(7, 3, 0, 2, 5, 1, 6, 4)
List(3, 7, 0, 2, 5, 1, 6, 4)
List(1, 5, 7, 2, 0, 3, 6, 4)
List(6, 1, 5, 2, 0, 3, 7, 4)
List(2, 5, 1, 6, 0, 3, 7, 4)
List(3, 6, 2, 7, 1, 4, 0, 5)
List(3, 7, 4, 2, 0, 6, 1, 5)
List(2, 4, 7, 3, 0, 6, 1, 5)
List(3, 1, 7, 4, 6, 0, 2, 5)
List(4, 6, 1, 3, 7, 0, 2, 5)
List(6, 3, 1, 4, 7, 0, 2, 5)
List(7, 1, 3, 0, 6, 4, 2, 5)
List(6, 1, 3, 0, 7, 4, 2, 5)
List(4, 0, 7, 3, 1, 6, 2, 5)
List(3, 0, 4, 7, 1, 6, 2, 5)
List(4, 1, 7, 0, 3, 6, 2, 5)
List(2, 6, 1, 7, 4, 0, 3, 5)
List(2, 0, 6, 4, 7, 1, 3, 5)
List(7, 1, 4, 2, 0, 6, 3, 5)
List(2, 4, 1, 7, 0, 6, 3, 5)
List(2, 4, 6, 0, 3, 1, 7, 5)
List(4, 1, 3, 5, 7, 2, 0, 6)
List(5, 2, 4, 7, 0, 3, 1, 6)
List(4, 7, 3, 0, 2, 5, 1, 6)
List(3, 1, 4, 7, 5, 0, 2, 6)
List(3, 5, 0, 4, 1, 7, 2, 6)
List(5, 2, 0, 7, 4, 1, 3, 6)
List(4, 2, 0, 5, 7, 1, 3, 6)
List(3, 1, 7, 5, 0, 2, 4, 6)
List(5, 2, 4, 6, 0, 3, 1, 7)
List(5, 3, 6, 0, 2, 4, 1, 7)
List(3, 6, 4, 1, 5, 0, 2, 7)
List(4, 6, 1, 5, 2, 0, 3, 7)

